Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
147,30,3,135,0,Some Random Commen with Id 147
148,30,3,92,2,Some Random Commen with Id 148
149,30,3,125,9,Some Random Commen with Id 149
150,30,3,160,5,Some Random Commen with Id 150
151,30,3,48,9,Some Random Commen with Id 151
152,30,3,158,8,Some Random Commen with Id 152
153,30,3,101,3,Some Random Commen with Id 153
154,30,3,88,1,Some Random Commen with Id 154
155,32,7,148,0,Some Random Commen with Id 155
156,32,7,135,8,Some Random Commen with Id 156
157,32,7,143,3,Some Random Commen with Id 157
158,32,7,139,1,Some Random Commen with Id 158
159,32,7,153,3,Some Random Commen with Id 159
160,32,7,95,2,Some Random Commen with Id 160
161,32,7,141,3,Some Random Commen with Id 161
162,32,7,44,1,Some Random Commen with Id 162
163,32,7,24,9,Some Random Commen with Id 163
164,33,9,110,3,Some Random Commen with Id 164
165,33,9,145,5,Some Random Commen with Id 165
166,33,9,172,2,Some Random Commen with Id 166
167,34,6,152,4,Some Random Commen with Id 167
168,34,6,58,8,Some Random Commen with Id 168
169,34,6,84,2,Some Random Commen with Id 169
170,35,3,178,4,Some Random Commen with Id 170
171,35,3,177,3,Some Random Commen with Id 171
172,35,3,129,2,Some Random Commen with Id 172
173,35,3,1,2,Some Random Commen with Id 173
174,35,3,38,4,Some Random Commen with Id 174
175,36,8,70,6,Some Random Commen with Id 175
176,36,8,157,4,Some Random Commen with Id 176
177,37,7,187,6,Some Random Commen with Id 177
178,37,7,22,6,Some Random Commen with Id 178
179,38,3,147,6,Some Random Commen with Id 179
180,38,3,44,5,Some Random Commen with Id 180
181,39,0,31,7,Some Random Commen with Id 181
182,39,0,66,4,Some Random Commen with Id 182
183,39,0,152,2,Some Random Commen with Id 183
184,39,0,24,3,Some Random Commen with Id 184
185,39,0,170,4,Some Random Commen with Id 185
